gap_id,start_date,end_date,length_days,gap_class,seasons,extrapolation_beyond_validation,scenario_only_256day,tsicl_satellite_proxy_mean_pred_chl,tsicl_satellite_proxy_n_days,engineered_hybrid_mean_reconstructed_chl,engineered_hybrid_method,engineered_hybrid_n_days,note_artificial_validation,note_real_gap_caveat,note_256day_scenario
REAL_L001_20210422,2021-04-22,2021-04-22,1,short,MAM,no,False,1.5884,1,1.6284,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L010_20210806,2021-08-06,2021-08-30,25,medium,JJA,interpolation_within_range,False,4.6024,25,5.5097,state_space_kalman,25,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L010_20211013,2021-10-13,2021-10-26,14,medium,SON,no,False,7.3936,14,8.4412,state_space_kalman,14,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20220126,2022-01-26,2022-01-26,1,short,DJF,no,False,9.5287,1,9.1667,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20220203,2022-02-03,2022-02-03,1,short,DJF,no,False,2.262,1,2.3207,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20220409,2022-04-09,2022-04-09,1,short,MAM,no,False,7.9249,1,8.0208,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20220516,2022-05-16,2022-05-16,1,short,MAM,no,False,1.1636,1,1.2661,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L031_20220727,2022-07-27,2022-10-05,71,long,JJA/SON,yes,False,4.0533,71,4.5527,gap_edge_residual_model,71,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20221219,2022-12-19,2022-12-21,3,short,DJF,no,False,2.6094,3,2.9694,gaussian_process,3,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L031_20230707,2023-07-07,2023-09-08,64,long,JJA/SON,yes,False,2.2657,64,2.4731,gap_edge_residual_model,64,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L010_20231116,2023-11-16,2023-12-07,22,medium,DJF,interpolation_within_range,False,2.9725,22,1.221,state_space_kalman,22,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20240126,2024-01-26,2024-01-26,1,short,DJF,no,False,4.0519,1,4.0708,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20240205,2024-02-05,2024-02-05,1,short,DJF,no,False,1.5611,1,1.4738,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20240209,2024-02-09,2024-02-09,1,short,DJF,no,False,5.466,1,6.7496,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L031_20240325,2024-03-25,2024-05-06,43,long,MAM,yes,False,3.5207,43,4.8909,gap_edge_residual_model,43,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L010_20240812,2024-08-12,2024-08-23,12,medium,JJA,interpolation_within_range,False,3.9627,12,3.8318,state_space_kalman,12,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L031_20250304,2025-03-04,2025-04-04,32,long,MAM,yes,False,2.7007,32,1.6566,gap_edge_residual_model,32,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20250707,2025-07-07,2025-07-07,1,short,JJA,no,False,1.5347,1,1.5936,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20250714,2025-07-14,2025-07-18,5,short,JJA,interpolation_within_range,False,1.5531,5,1.6143,state_space_kalman,5,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20250924,2025-09-24,2025-09-26,3,short,SON,no,False,3.1154,3,3.1724,gaussian_process,3,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_L001_20260116,2026-01-16,2026-01-16,1,short,DJF,no,False,6.351,1,6.2923,gaussian_process,1,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
REAL_OPEN_20260515,2026-05-15,2026-05-31,17,medium,MAM,open_ended,False,3.6917,17,,,0,Artificial-gap validation (the canonical 681-gap pool) supports relative method ranking.,"Real gaps have no withheld ground truth; these are candidate reconstructions only, not validation evidence.",
